"","...1","X","datecollected","latitude","longitude","project_shortcode","catalogNumber","length","timeofday","interaction_order","data_source","mean.chlorophyll","zone","date","temp","bottom_temp","salinity","east_velo","north_velo","region"
"46",46,46,2003-08-02,29.908,-87.556,"USMCOB","USMCOB-RC37801",0.91,00:00:00,2,"mark-recapture",NA,10,2003-08-02,28.9902340695262,24.9105197265744,24.9900814611465,0.11047700420022,0.00366222113370895,"NCentral_GOA_Shelf"
"47",47,47,2003-08-06,30.216,-88.996,"USMCOB","USMCOB-RC39871",0.56,00:00:00,1,"mark-recapture",NA,11,2003-08-06,30.4792931824923,32.689809858799,18.7292092479765,0.169072542339563,-0.00732444226741791,"NCentral_GOA_Shelf"
"48",48,48,2003-08-15,26.983,-83.467,"USMCOB","USMCOB-RC31279",1.07,00:00:00,2,"mark-recapture",NA,4,2003-08-15,29.0554216057062,23.4368419423699,35.1145969703794,-0.0183111056685448,0.180669575929642,"WFL_Shelf"
"49",49,49,2003-08-20,30.241,-88.506,"USMCOB","USMCOB-RC38381",0.56,00:00:00,1,"mark-recapture",NA,11,2003-08-20,29.2861415371299,30.4170354232192,24.5719778817147,0.0988799706101418,-0.0476088747382164,"NCentral_GOA_Shelf"
"50",50,50,2003-09-10,28.792,-82.81,"USMCOB","USMCOB-RC30989",0.89,00:00:00,2,"mark-recapture",5.71781194210052,6,2003-09-10,29.0554216057062,29.0539567172527,35.7051301281899,0.0140385143458843,-0.0799584947526455,"WFL_Shelf"
"51",51,51,2003-09-13,30.033,-85.733,"USMCOB","USMCOB-RC38816",0.97,00:00:00,2,"mark-recapture",NA,8,2003-09-13,28.8129825666547,30.3371990025043,32.570879207924,-0.0134281441569328,0.0415051728487015,"FL_Panhandle"
"52",52,52,2003-09-22,26.35,-81.856,"USMCOB","USMCOB-RC36790",0.76,00:00:00,1,"mark-recapture",NA,4,2003-09-22,29.4084597229958,29.3996703922749,35.9080782160163,-0.135502181947231,0.148319955915213,"WFL_Shelf"
"53",53,53,2003-09-30,26.136,-81.856,"USMCOB","USMCOB-RC36790",0.86,00:00:00,2,"mark-recapture",NA,4,2003-09-30,29.3579210713506,29.3557237386703,35.7219153083861,-0.0445570237934589,0.0817896053195,"WFL_Shelf"
"54",54,54,2003-10-05,29.843,-84.856,"USMCOB","USMCOB-RC38103",1.17,00:00:00,2,"mark-recapture",NA,7,2003-10-05,NA,NA,NA,NA,NA,"FL_Panhandle"
"55",55,55,2003-10-07,30.243,-88.033,"USMCOB","USMCOB-T991",0.91,00:00:00,2,"mark-recapture",NA,11,2003-10-07,25.3463240414858,25.4400769025087,30.6146427523345,-0.00610370188951492,-0.00183111056685448,"NCentral_GOA_Shelf"
"56",56,56,2003-10-09,30.213,-88.966,"USMCOB","USMCOB-RC32186",0.69,00:00:00,1,"mark-recapture",NA,11,2003-10-09,24.8826868459582,25.5689870864153,27.4605548009276,-0.0592059083282948,-0.00488296151161194,"NCentral_GOA_Shelf"
"57",57,57,2004-01-02,29.077,-80.91,"USMCOB","USMCOB-RC32503",NA,00:00:00,2,"mark-recapture",NA,7,2004-01-02,20.7714774012566,20.6447645500302,36.3597521558404,-0.0726340524852276,0.0549333170056343,"EFL_Shelf"
"58",58,58,2004-01-06,25.156,-81.14,"USMCOB","USMCOB-RC37301",0.86,00:00:00,2,"mark-recapture",NA,3,2004-01-06,23.1768242418766,23.0413220599294,36.3078706897795,0.0762962736189365,-0.116580706089735,"EFL_Shelf"
"59",59,59,2004-03-07,27.165,-80.15,"USMCOB","USMCOB-RC39419",NA,00:00:00,2,"mark-recapture",NA,5,2004-03-07,22.8875087723136,22.7695852518082,36.2361521925777,-0.264900662004948,0.311899166554213,"EFL_Shelf"
"60",60,60,2004-03-12,28.395,-80.587,"USMCOB","USMCOB-RC37113",0.69,00:00:00,1,"mark-recapture",NA,6,2004-03-12,NA,NA,NA,NA,NA,"EFL_Shelf"
"61",61,61,2004-03-14,28.20435,-80.3302,"USMCOB","USMCOB-RC32041",1.17,00:00:00,2,"mark-recapture",0.484260320663452,6,2004-03-14,22.0854823440313,22.0657063499093,36.2987151369452,-0.0891140475869179,0.15137180685997,"EFL_Shelf"
"62",62,62,2004-03-15,25.766,-80.126,"USMCOB","USMCOB-RC39349",1.21,00:00:00,2,"mark-recapture",NA,3,2004-03-15,23.3423566371202,23.3789788484573,36.1537522170693,0.037232581526041,0.406506545841694,"EFL_Shelf"
"63",63,63,2004-03-20,30.267,-87.585,"USMCOB","USMCOB-RC36817",0.97,00:00:00,2,"mark-recapture",3.34823624293009,10,2004-03-20,18.6466566994786,18.5148167386651,29.9859614577144,-0.0079348124563694,-0.0927762687206268,"NCentral_GOA_Shelf"
"64",64,64,2004-03-28,30.26,-87.58,"USMCOB","USMCOB-RC38801",1.3,00:00:00,2,"mark-recapture",3.01704248785973,10,2004-03-28,18.906674399972,18.7748344391584,33.1583605147898,-0.17578661441803,-0.0140385143458843,"NCentral_GOA_Shelf"
"65",65,65,2004-04-06,30.38,-86.5,"USMCOB","USMCOB-RC36802",1.12,00:00:00,2,"mark-recapture",NA,9,2004-04-06,18.8949552923441,18.7741019949317,34.8490859381855,-0.0262459181249142,0.0231940671801567,"FL_Panhandle"
"66",66,66,2004-04-16,30.315,-87.203,"USMCOB","USMCOB-RC39439",0.86,00:00:00,1,"mark-recapture",NA,10,2004-04-16,18.9220557287335,19.573198646307,31.2158573884517,0.294198431074619,0.124515518546104,"FL_Panhandle"
"67",67,67,2004-04-17,30.315,-87.203,"USMCOB","USMCOB-RC41264",0.89,00:00:00,1,"mark-recapture",2.95381253957748,10,2004-04-17,19.5351115465164,20.1635486930609,28.1884212512523,0.0555436871945858,0.0933866389095783,"FL_Panhandle"
"68",68,68,2004-04-17,30.315,-87.203,"USMCOB","USMCOB-RC39401",0.84,00:00:00,1,"mark-recapture",2.95381253957748,10,2004-04-17,19.5351115465164,20.1635486930609,28.1884212512523,0.0555436871945858,0.0933866389095783,"FL_Panhandle"
"69",69,69,2004-04-17,30.333,-87.15,"USMCOB","USMCOB-CB28364",1.47,00:00:00,2,"mark-recapture",2.66248846054077,10,2004-04-17,19.5351115465164,20.1635486930609,28.1884212512523,0.0555436871945858,0.0933866389095783,"FL_Panhandle"
"70",70,70,2004-04-18,30.315,-87.203,"USMCOB","USMCOB-RC34748",0.99,00:00:00,1,"mark-recapture",NA,10,2004-04-18,19.8090456873178,20.4308908358216,27.9152805916965,-0.0897244177758694,0.0250251777470112,"FL_Panhandle"
"71",71,71,2004-04-20,24.378,-81.758,"USMCOB","USMCOB-RC36590",1.02,00:00:00,2,"mark-recapture",NA,1,2004-04-20,24.2051759362221,19.3732413724065,36.2987151369452,-0.0152592547237873,0.04089480265975,"SFL_Shelf"
"72",72,72,2004-04-21,30.116,-86.648,"USMCOB","USMCOB-RC40665",1.22,00:00:00,1,"mark-recapture",NA,9,2004-04-21,19.7563097029924,19.1388592198491,35.6547745876014,-0.162358470261097,0.104983672499657,"FL_Panhandle"
"73",73,73,2004-04-21,30.288,-87.427,"USMCOB","USMCOB-RC41364",1.17,00:00:00,1,"mark-recapture",NA,10,2004-04-21,20.6279183328152,20.1349833682179,26.5053254552186,0.0927762687206268,0.0274666585028172,"FL_Panhandle"
"74",74,74,2004-04-22,30.378,-86.862,"USMCOB","USMCOB-RC40595",0.94,00:00:00,1,"mark-recapture",NA,9,2004-04-22,20.7582934051752,20.7246009707451,34.8948637023568,-0.11841181665659,0.0463881343603134,"FL_Panhandle"
"75",75,75,2004-04-22,30.378,-86.862,"USMCOB","USMCOB-RC40596",NA,00:00:00,1,"mark-recapture",NA,9,2004-04-22,20.7582934051752,20.7246009707451,34.8948637023568,-0.11841181665659,0.0463881343603134,"FL_Panhandle"
"76",76,76,2004-04-22,30.38,-86.5,"USMCOB","USMCOB-RC41043",0.86,00:00:00,1,"mark-recapture",NA,9,2004-04-22,20.6345103308558,20.5956907868385,35.1420636288822,-0.153813287615776,0.0817896053195,"FL_Panhandle"
"77",77,77,2004-04-22,30.38,-86.5,"USMCOB","USMCOB-RC41044",0.76,00:00:00,1,"mark-recapture",NA,9,2004-04-22,20.6345103308558,20.5956907868385,35.1420636288822,-0.153813287615776,0.0817896053195,"FL_Panhandle"
"78",78,78,2004-04-23,30.315,-87.203,"USMCOB","USMCOB-RC39334",1.04,00:00:00,1,"mark-recapture",NA,10,2004-04-23,21.0153813287616,20.9597155675292,33.4788048639894,-0.13916440308094,-0.0463881343603134,"FL_Panhandle"
"79",79,79,2004-04-23,30.333,-87.15,"USMCOB","USMCOB-RC34825",1.04,00:00:00,2,"mark-recapture",NA,10,2004-04-23,21.0153813287616,20.9597155675292,33.4788048639894,-0.13916440308094,-0.0463881343603134,"FL_Panhandle"
"80",80,80,2004-04-23,30.333,-87.15,"USMCOB","USMCOB-RC41044",0.76,00:00:00,2,"mark-recapture",NA,10,2004-04-23,21.0153813287616,20.9597155675292,33.4788048639894,-0.13916440308094,-0.0463881343603134,"FL_Panhandle"
"81",81,81,2004-04-23,30.353,-86.989,"USMCOB","USMCOB-RC40755",0.76,00:00:00,2,"mark-recapture",0.700469017028809,9,2004-04-23,20.7370525225997,19.7995239123702,35.0047303363681,-0.235602892935276,0.00854518264532089,"FL_Panhandle"
"82",82,82,2004-04-23,30.38,-86.5,"USMCOB","USMCOB-CB24975",NA,00:00:00,2,"mark-recapture",NA,9,2004-04-23,21.0183111056685,20.8959929198027,35.1390117779374,-0.186162907630205,0.0720236822962761,"FL_Panhandle"
"83",83,83,2004-04-23,30.38,-86.5,"USMCOB","USMCOB-RC40755",0.76,00:00:00,1,"mark-recapture",NA,9,2004-04-23,21.0183111056685,20.8959929198027,35.1390117779374,-0.186162907630205,0.0720236822962761,"FL_Panhandle"
"84",84,84,2004-04-24,30.378,-86.862,"USMCOB","USMCOB-RC40600",0.89,00:00:00,1,"mark-recapture",NA,9,2004-04-24,21.6782433539629,21.6101260408759,34.8857081495225,-0.168462172150612,0.0292977690696716,"FL_Panhandle"
"85",85,85,2004-04-25,30.315,-87.203,"USMCOB","USMCOB-RC41370",1.02,00:00:00,1,"mark-recapture",NA,10,2004-04-25,21.510513626039,21.3252052366734,35.2351450826973,-0.189825128763914,-0.0170903652906418,"FL_Panhandle"
"86",86,86,2004-04-25,30.315,-87.203,"USMCOB","USMCOB-RC40529",0.91,00:00:00,1,"mark-recapture",NA,10,2004-04-25,21.510513626039,21.3252052366734,35.2351450826973,-0.189825128763914,-0.0170903652906418,"FL_Panhandle"
"87",87,87,2004-04-27,30.315,-87.203,"USMCOB","USMCOB-RC40695",0.94,00:00:00,1,"mark-recapture",NA,10,2004-04-27,21.8562273010612,21.7734611034393,34.7422711551189,-0.129398480057716,-0.134281441569328,"FL_Panhandle"
"88",88,88,2004-04-28,30.325,-87.158,"USMCOB","USMCOB-RC23055",1.24,00:00:00,2,"mark-recapture",0.82608351111412,10,2004-04-28,21.7815179899335,21.9023712873459,34.6446119248867,-0.0170903652906418,-0.00610370188951492,"FL_Panhandle"
"89",89,89,2004-05-01,29.796667,-88.288333,"USMCOB","USMCOB-RC34692",1.07,00:00:00,2,"mark-recapture",NA,11,2004-05-01,22.4429151266813,19.6794030591846,28.3028656616807,0.00122074037790298,-0.0720236822962761,"NCentral_GOA_Shelf"
"90",90,90,2004-05-01,30.043,-88.878,"USMCOB","USMCOB-RC40695",0.99,00:00:00,2,"mark-recapture",NA,11,2004-05-01,23.7298196330667,24.7457197755575,11.5619373042136,0.0354014709591866,0.0439466536045074,"NCentral_GOA_Shelf"
"91",91,91,2004-05-07,30.67,-81.4,"CTCCOB","CTCCOB-414628",1.143,00:00:00,1,"mark-recapture",NA,7,2004-05-07,23.3255104199052,23.0449842810631,35.8668782282621,0.0250251777470112,0.20447401329875,"EFL_Shelf"
"92",92,92,2004-05-08,28.703,-92.407,"USMCOB","USMCOB-RC34748",1.12,00:00:00,2,"mark-recapture",NA,15,2004-05-08,23.0501113906503,22.0803552344441,35.8317819423974,-0.0921658985316753,0.0689718313515186,"NCentral_GOA_Shelf"
"93",93,93,2004-05-08,29.942,-88.677,"USMCOB","USMCOB-RC41370",1.04,00:00:00,2,"mark-recapture",NA,11,2004-05-08,22.9732047468424,21.9909970387816,17.6671651192009,-0.00976592302322388,0.0427259132266045,"NCentral_GOA_Shelf"
"94",94,94,2004-05-22,29.0667,-88.95,"USMCOB","USMCOB-ST32901",NA,00:00:00,2,"mark-recapture",8.8093372186025,11,2004-05-22,26.2743308767676,20.1349833682179,22.9850153904408,-0.112308114767075,-0.134281441569328,"NCentral_GOA_Shelf"
"95",95,95,2004-05-23,29.345,-88.81,"USMCOB","USMCOB-RC37659",NA,00:00:00,2,"mark-recapture",NA,11,2004-05-23,26.4772179275751,20.8754844814539,18.6834314838052,-0.0946073792874813,0.036011841148138,"NCentral_GOA_Shelf"
"96",96,96,2004-05-23,32.2,-80.8,"CTCCOB","CTCCOB-414628",NA,00:00:00,2,"mark-recapture",NA,7,2004-05-23,NA,NA,NA,NA,NA,"EFL_Shelf"
"97",97,97,2004-05-26,29.499,-88.672,"USMCOB","USMCOB-RC39439",1.07,00:00:00,2,"mark-recapture",2.5742130279541,11,2004-05-26,26.9533066749573,21.7566148862243,15.2867213822901,0.0598162785172462,-0.0640888698399067,"NCentral_GOA_Shelf"
"98",98,98,2004-06-15,30.333,-87.15,"USMCOB","USMCOB-RC39334",1.07,00:00:00,2,"mark-recapture",NA,10,2004-06-15,28.2453382909298,28.3083284944296,25.2037110272795,0.0860621966421604,0.076906643807888,"FL_Panhandle"
"99",99,99,2004-06-19,29.425,-88.615,"USMCOB","USMCOB-CB24976",1.27,00:00:00,2,"mark-recapture",NA,11,2004-06-19,29.6208685487509,21.0498062074184,24.6559037826955,0.0244148075580597,-0.0146488845348358,"NCentral_GOA_Shelf"
"100",100,100,2004-06-24,28.2,-92.8,"USMCOB","USMCOB-RC33443",0.97,00:00:00,2,"mark-recapture",NA,16,2004-06-24,28.9528794139624,20.1452375873923,34.5194860361516,0.0256355479359627,0.0238044373691082,"NCentral_GOA_Shelf"
"101",101,101,2004-06-30,29.335,-88.295,"USMCOB","USMCOB-RC38142",1.02,00:00:00,2,"mark-recapture",NA,11,2004-06-30,28.582262635231,20.7517014071345,27.6360362302512,-0.0347911007702351,0.0378429517149925,"NCentral_GOA_Shelf"
"102",102,102,2004-07-01,28.39333,-90.583333,"USMCOB","USMCOB-RC39401",NA,00:00:00,2,"mark-recapture",NA,14,2004-07-01,29.1022980362177,22.2129276394844,34.4874416012317,0.036011841148138,0.0158696249127388,"NCentral_GOA_Shelf"
"103",103,103,2004-07-27,30.324,-89.061,"USMCOB","USMCOB-RC38405",0.33,00:00:00,1,"mark-recapture",NA,12,2004-07-27,30.9487899318337,33.5614184886217,18.9855647273362,0.0225836969912052,-0.0573747977614403,"NCentral_GOA_Shelf"
"104",104,104,2004-08-07,30.213,-88.966,"USMCOB","USMCOB-RC38621",0.66,00:00:00,1,"mark-recapture",NA,11,2004-08-07,30.6001464799047,32.7828302755952,20.805993815884,-0.0927762687206268,-0.043336283415556,"NCentral_GOA_Shelf"
"105",105,105,2004-08-07,30.32,-89.088,"USMCOB","USMCOB-RC38405",0.34,00:00:00,2,"mark-recapture",NA,12,2004-08-07,31.6065248474479,33.963530369103,19.7729422710836,-0.0378429517149925,-0.0366222113370895,"NCentral_GOA_Shelf"
"106",106,106,2004-08-10,30.221,-88.912,"USMCOB","USMCOB-RC32186",1,00:00:00,2,"mark-recapture",NA,11,2004-08-10,29.2502517700195,29.8735618069768,25.1503036357462,0.109866634011269,0.0128177739679813,"NCentral_GOA_Shelf"
"107",107,107,2004-08-24,26.964227,-80.066878,"USMCOB","USMCOB-RC37683",0.66,00:00:00,1,"mark-recapture",NA,4,2004-08-24,27.0228888764977,26.866145811975,36.2743003293872,-0.17578661441803,0.718405712395906,"EFL_Shelf"
"108",108,108,2004-08-25,30.168692,-88.789684,"USMCOB","USMCOB-RC33247",0.61,00:00:00,1,"mark-recapture",NA,11,2004-08-25,29.2890713140368,29.3813592866063,23.8685262389481,-0.0164799951016903,-0.0238044373691082,"NCentral_GOA_Shelf"
