"","project_shortcode","locality","latitude","longitude","length","observedweight","lengthtype","length2","length2type","datecollected","institutioncode","interaction_order","catalognumber...13","datelastmodified","timezone","yearcollected","monthcollected","daycollected","julianday","timeofday","sex","the_geom","catalognumber...23","cat_num","chlorophyll_mg_m3"
"11","CTCCOB",NA,29,-95,0.6858,5.67,"FL",NA,NA,1995-08-12,"SEFSC",2,"CTCCOB-253161",2026-05-05,"UTC",1995,8,12,224,00:00:00,NA,"POINT(-95.0 29.0)","CTCCOB-253161","CTCCOB-253161-2",NA
"12","CTCCOB",NA,28.5,-80.33,0.8128,6.35029318,"FL",NA,NA,2001-03-24,"SEFSC",1,"CTCCOB-381742",2026-05-05,"UTC",2001,3,24,83,00:00:00,NA,"POINT(-80.33 28.5)","CTCCOB-381742","CTCCOB-381742-1",NA
"13","CTCCOB",NA,24.83333,-80.5,0.8128,6.3504,"FL",NA,NA,1992-03-15,"SEFSC",2,"CTCCOB-195545",2026-05-05,"UTC",1992,3,15,75,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-195545","CTCCOB-195545-2",NA
"14","CTCCOB",NA,28.5,-80.33,0.889,6.80388555,"FL",NA,NA,1990-11-29,"SEFSC",1,"CTCCOB-176014",2026-05-05,"UTC",1990,11,29,333,00:00:00,NA,"POINT(-80.33 28.5)","CTCCOB-176014","CTCCOB-176014-1",NA
"15","CTCCOB",NA,30,-86.5,0.8382,6.804,"FL",NA,NA,1992-09-10,"SEFSC",2,"CTCCOB-55752",2026-05-05,"UTC",1992,9,10,254,00:00:00,NA,"POINT(-86.5 30.0)","CTCCOB-55752","CTCCOB-55752-2",NA
"16","CTCCOB",NA,26,-82,0.8636,6.804,"FL",NA,NA,1994-05-21,"SEFSC",2,"CTCCOB-199284",2026-05-05,"UTC",1994,5,21,141,00:00:00,NA,"POINT(-82.0 26.0)","CTCCOB-199284","CTCCOB-199284-2",NA
"17","CTCCOB",NA,26.46667,-82,0.889,6.804,"FL",NA,NA,1992-10-30,"SEFSC",2,"CTCCOB-116423",2026-05-05,"UTC",1992,10,30,304,00:00:00,NA,"POINT(-82.0 26.46667)","CTCCOB-116423","CTCCOB-116423-2",NA
"18","CTCCOB",NA,30.33333,-81.16667,0.8382,7.2576,"FL",NA,NA,1993-05-25,"SEFSC",2,"CTCCOB-183198",2026-05-05,"UTC",1993,5,25,145,00:00:00,NA,"POINT(-81.16667 30.33333)","CTCCOB-183198","CTCCOB-183198-2",NA
"19","CTCCOB",NA,28.5,-80.33333,0.8382,7.2576,"FL",NA,NA,1993-07-18,"SEFSC",2,"CTCCOB-202998",2026-05-05,"UTC",1993,7,18,199,00:00:00,NA,"POINT(-80.33333 28.5)","CTCCOB-202998","CTCCOB-202998-2",NA
"20","CTCCOB",NA,30.41667,-86.58333,0.9144,7.2576,"FL",NA,NA,1992-06-16,"SEFSC",2,"CTCCOB-56217",2026-05-05,"UTC",1992,6,16,168,00:00:00,NA,"POINT(-86.58333 30.41667)","CTCCOB-56217","CTCCOB-56217-2",NA
"21","CTCCOB",NA,24.83333,-80.5,0.9652,7.7112,"FL",NA,NA,1991-02-25,"SEFSC",2,"CTCCOB-181945",2026-05-05,"UTC",1991,2,25,56,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-181945","CTCCOB-181945-2",NA
"22","CTCCOB",NA,28.5,-80.5,0.889,9.072,"FL",NA,NA,1993-06-22,"SEFSC",2,"CTCCOB-203000",2026-05-05,"UTC",1993,6,22,173,00:00:00,NA,"POINT(-80.5 28.5)","CTCCOB-203000","CTCCOB-203000-2",NA
"23","CTCCOB",NA,24.83333,-80.5,0.9398,10.4328,"FL",NA,NA,1994-01-30,"SEFSC",2,"CTCCOB-56346",2026-05-05,"UTC",1994,1,30,30,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-56346","CTCCOB-56346-2",NA
"24","CTCCOB",NA,29.83333,-88,1.0414,10.895472,"FL",NA,NA,1992-07-18,"SEFSC",2,"CTCCOB-177104",2026-05-05,"UTC",1992,7,18,200,00:00:00,NA,"POINT(-88.0 29.83333)","CTCCOB-177104","CTCCOB-177104-2",NA
"25","CTCCOB",NA,30.35583,-86.8605,1.016,11.5668,"FL",NA,NA,1996-05-05,"SEFSC",2,"CTCCOB-249914",2026-05-05,"UTC",1996,5,5,126,00:00:00,NA,"POINT(-86.8605 30.35583)","CTCCOB-249914","CTCCOB-249914-2",NA
"26","CTCCOB",NA,28.5,-80.33,0.889,13.6077711,"FL",NA,NA,1990-12-30,"SEFSC",1,"CTCCOB-176972",2026-05-05,"UTC",1990,12,30,364,00:00:00,NA,"POINT(-80.33 28.5)","CTCCOB-176972","CTCCOB-176972-1",NA
"27","CTCCOB",NA,27.44,-82.68,0.48,NA,"FL",NA,NA,1993-04-08,"SEFSC",1,"CTCCOB-23652",2026-05-05,"UTC",1993,4,8,98,00:00:00,NA,"POINT(-82.68 27.44)","CTCCOB-23652","CTCCOB-23652-1",NA
"28","CTCCOB",NA,30.08,-88,0.5842,NA,"FL",NA,NA,1991-05-01,"SEFSC",1,"CTCCOB-228840",2026-05-05,"UTC",1991,5,1,121,00:00:00,NA,"POINT(-88.0 30.08)","CTCCOB-228840","CTCCOB-228840-1",NA
"29","CTCCOB",NA,24.5,-81.83,0.6096,NA,"FL",NA,NA,1992-06-03,"SEFSC",1,"CTCCOB-228843",2026-05-05,"UTC",1992,6,3,155,00:00:00,NA,"POINT(-81.83 24.5)","CTCCOB-228843","CTCCOB-228843-1",NA
"30","CTCCOB",NA,29.58133,-88.81717,0.6604,NA,"FL",NA,NA,1992-05-23,"SEFSC",2,"CTCCOB-51968",2026-05-05,"UTC",1992,5,23,144,00:00:00,NA,"POINT(-88.81717 29.58133)","CTCCOB-51968","CTCCOB-51968-2",NA
"31","CTCCOB",NA,28.08517,-96.4895,0.6858,NA,"FL",NA,NA,1994-10-26,"SEFSC",2,"CTCCOB-230411",2026-05-05,"UTC",1994,10,26,299,00:00:00,NA,"POINT(-96.4895 28.08517)","CTCCOB-230411","CTCCOB-230411-2",NA
"32","CTCCOB",NA,27.33,-82.6,0.73,NA,"FL",NA,NA,1993-11-09,"SEFSC",1,"CTCCOB-23733",2026-05-05,"UTC",1993,11,9,313,00:00:00,NA,"POINT(-82.6 27.33)","CTCCOB-23733","CTCCOB-23733-1",NA
"33","CTCCOB",NA,37.18,-76.02,0.889,NA,"FL",NA,NA,2024-08-22,"SEFSC",1,"CTCCOB-449212",2026-05-05,"UTC",2024,8,22,235,00:00:00,NA,"POINT(-76.02 37.18)","CTCCOB-449212","CTCCOB-449212-1",NA
"34","CTCCOB",NA,27.41667,-82.91667,0.9398,NA,"FL",NA,NA,1993-09-19,"SEFSC",2,"CTCCOB-196433",2026-05-05,"UTC",1993,9,19,262,00:00:00,NA,"POINT(-82.91667 27.41667)","CTCCOB-196433","CTCCOB-196433-2",NA
"35","CTCCOB",NA,37.18,-76.02,0.9398,NA,"FL",NA,NA,2024-10-05,"SEFSC",2,"CTCCOB-449212",2026-05-05,"UTC",2024,10,5,279,00:00:00,NA,"POINT(-76.02 37.18)","CTCCOB-449212","CTCCOB-449212-2",NA
"36","CTCCOB",NA,37.09,-76.1,0.9652,NA,"FL",NA,NA,2024-08-14,"SEFSC",1,"CTCCOB-448871",2026-05-05,"UTC",2024,8,14,227,00:00:00,NA,"POINT(-76.1 37.09)","CTCCOB-448871","CTCCOB-448871-1",NA
"37","CTCCOB",NA,29.91667,-85.58333,0.971,NA,"FL",NA,NA,1992-12-29,"SEFSC",2,"CTCCOB-185652",2026-05-05,"UTC",1992,12,29,364,00:00:00,NA,"POINT(-85.58333 29.91667)","CTCCOB-185652","CTCCOB-185652-2",NA
"38","CTCCOB",NA,24.83333,-80.5,0.9906,NA,"FL",NA,NA,1992-01-20,"SEFSC",2,"CTCCOB-177144",2026-05-05,"UTC",1992,1,20,20,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-177144","CTCCOB-177144-2",NA
"39","CTCCOB",NA,29.118,-88.83467,1.0414,NA,"FL",NA,NA,1992-08-09,"SEFSC",2,"CTCCOB-174091",2026-05-05,"UTC",1992,8,9,222,00:00:00,NA,"POINT(-88.83467 29.118)","CTCCOB-174091","CTCCOB-174091-2",NA
"40","CTCCOB",NA,37.04,-76.07,1.1684,NA,"FL",NA,NA,2024-07-28,"SEFSC",1,"CTCCOB-449499",2026-05-05,"UTC",2024,7,28,210,00:00:00,NA,"POINT(-76.07 37.04)","CTCCOB-449499","CTCCOB-449499-1",NA
"41","CTCCOB",NA,37.07,-76.07,1.2192,NA,"FL",NA,NA,2024-08-24,"SEFSC",2,"CTCCOB-449499",2026-05-05,"UTC",2024,8,24,237,00:00:00,NA,"POINT(-76.07 37.07)","CTCCOB-449499","CTCCOB-449499-2",NA
"42","CTCCOB",NA,37.18,-76.02,1.2446,NA,"FL",NA,NA,2024-08-23,"SEFSC",1,"CTCCOB-449213",2026-05-05,"UTC",2024,8,23,236,00:00:00,NA,"POINT(-76.02 37.18)","CTCCOB-449213","CTCCOB-449213-1",NA
"43","CTCCOB",NA,31.98,-80.82,1.2446,NA,"FL",NA,NA,2024-10-31,"SEFSC",2,"CTCCOB-449213",2026-05-05,"UTC",2024,10,31,305,00:00:00,NA,"POINT(-80.82 31.98)","CTCCOB-449213","CTCCOB-449213-2",NA
"44","CTCCOB",NA,37.22,-76.15,1.397,NA,"FL",NA,NA,2024-08-27,"SEFSC",1,"CTCCOB-449219",2026-05-05,"UTC",2024,8,27,240,00:00:00,NA,"POINT(-76.15 37.22)","CTCCOB-449219","CTCCOB-449219-1",NA
"45","CTCCOB",NA,24.83333,-80.5,0.8128,4.0824,"FL",NA,NA,1992-12-31,"SEFSC",2,"CTCCOB-228841",2026-05-05,"UTC",1992,12,31,366,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-228841","CTCCOB-228841-2",NA
"46","CTCCOB",NA,24.83333,-80.5,0.9906,5.4432,"FL",NA,NA,1992-04-11,"SEFSC",2,"CTCCOB-194951",2026-05-05,"UTC",1992,4,11,102,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-194951","CTCCOB-194951-2",NA
"47","CTCCOB",NA,28.5,-80.41667,0.889,5.529384,"FL",NA,NA,1993-05-16,"SEFSC",2,"CTCCOB-202999",2026-05-05,"UTC",1993,5,16,136,00:00:00,NA,"POINT(-80.41667 28.5)","CTCCOB-202999","CTCCOB-202999-2",NA
"48","CTCCOB",NA,24.83333,-80.5,0.8382,5.8968,"FL",NA,NA,1992-12-31,"SEFSC",2,"CTCCOB-62604",2026-05-05,"UTC",1992,12,31,366,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-62604","CTCCOB-62604-2",NA
"49","CTCCOB",NA,24.83333,-80.5,0.8636,5.8968,"FL",NA,NA,1994-03-26,"SEFSC",2,"CTCCOB-118047",2026-05-05,"UTC",1994,3,26,85,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-118047","CTCCOB-118047-2",NA
"50","CTCCOB",NA,24.83333,-80.5,0.8636,7.2576,"FL",NA,NA,1992-12-31,"SEFSC",2,"CTCCOB-62902",2026-05-05,"UTC",1992,12,31,366,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-62902","CTCCOB-62902-2",NA
"51","CTCCOB",NA,24.83333,-80.5,0.8636,8.3916,"FL",NA,NA,1993-01-15,"SEFSC",2,"CTCCOB-198754",2026-05-05,"UTC",1993,1,15,15,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-198754","CTCCOB-198754-2",NA
"52","CTCCOB",NA,24.83333,-80.5,0.9144,9.7524,"FL",NA,NA,1992-12-21,"SEFSC",2,"CTCCOB-62606",2026-05-05,"UTC",1992,12,21,356,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-62606","CTCCOB-62606-2",NA
"53","CTCCOB",NA,32.45,-80.42,0.8636,10.4328,"FL",NA,NA,1996-05-27,"SEFSC",2,"CTCCOB-117824",2026-05-05,"UTC",1996,5,27,148,00:00:00,NA,"POINT(-80.42 32.45)","CTCCOB-117824","CTCCOB-117824-2",NA
"54","CTCCOB",NA,27.75,-82.5,1.1176,11.7936,"FL",NA,NA,1992-08-19,"SEFSC",2,"CTCCOB-194366",2026-05-05,"UTC",1992,8,19,232,00:00:00,NA,"POINT(-82.5 27.75)","CTCCOB-194366","CTCCOB-194366-2",NA
"55","CTCCOB",NA,28.5,-80.33333,0.9906,12.3606,"FL",NA,NA,1990-08-05,"SEFSC",2,"CTCCOB-175755",2026-05-05,"UTC",1990,8,5,217,00:00:00,NA,"POINT(-80.33333 28.5)","CTCCOB-175755","CTCCOB-175755-2",NA
"56","CTCCOB",NA,24.83333,-80.5,1.0668,15.4224,"FL",NA,NA,1994-03-26,"SEFSC",2,"CTCCOB-195631",2026-05-05,"UTC",1994,3,26,85,00:00:00,NA,"POINT(-80.5 24.83333)","CTCCOB-195631","CTCCOB-195631-2",NA
"57","CTCCOB",NA,30.67,-81.4,1.143,21.31884139,"FL",NA,NA,2004-05-07,"SEFSC",1,"CTCCOB-414628",2026-05-05,"UTC",2004,5,7,128,00:00:00,NA,"POINT(-81.4 30.67)","CTCCOB-414628","CTCCOB-414628-1",NA
"58","CTCCOB",NA,30,-87.83,0.7112,NA,"FL",NA,NA,1992-05-12,"SEFSC",1,"CTCCOB-228841",2026-05-05,"UTC",1992,5,12,133,00:00:00,NA,"POINT(-87.83 30.0)","CTCCOB-228841","CTCCOB-228841-1",NA
"59","CTCCOB",NA,24.75,-80.55,0.762,NA,"TL",NA,NA,1990-03-26,"SEFSC",2,"CTCCOB-169482",2026-05-05,"UTC",1990,3,26,85,00:00:00,NA,"POINT(-80.55 24.75)","CTCCOB-169482","CTCCOB-169482-2",NA
"60","CTCCOB",NA,28.5,-80.33,0.7874,NA,"TL",NA,NA,1992-03-15,"SEFSC",1,"CTCCOB-176418",2026-05-05,"UTC",1992,3,15,75,00:00:00,NA,"POINT(-80.33 28.5)","CTCCOB-176418","CTCCOB-176418-1",NA
"61","CTCCOB",NA,28.5,-80.33,0.8128,NA,"TL",NA,NA,1992-03-17,"SEFSC",1,"CTCCOB-176603",2026-05-05,"UTC",1992,3,17,77,00:00:00,NA,"POINT(-80.33 28.5)","CTCCOB-176603","CTCCOB-176603-1",NA
"62","CTCCOB",NA,28.5,-80.33,0.8128,NA,"TL",NA,NA,1992-03-02,"SEFSC",1,"CTCCOB-195631",2026-05-05,"UTC",1992,3,2,62,00:00:00,NA,"POINT(-80.33 28.5)","CTCCOB-195631","CTCCOB-195631-1",NA
"63","CTCCOB",NA,27.94167,-82.54833,0.838,NA,"TL",NA,NA,1994-04-23,"SEFSC",2,"CTCCOB-23733",2026-05-05,"UTC",1994,4,23,113,00:00:00,NA,"POINT(-82.54833 27.94167)","CTCCOB-23733","CTCCOB-23733-2",NA
"64","CTCCOB",NA,28.5,-80.33,0.8382,NA,"TL",NA,NA,1992-04-01,"SEFSC",1,"CTCCOB-56178",2026-05-05,"UTC",1992,4,1,92,00:00:00,NA,"POINT(-80.33 28.5)","CTCCOB-56178","CTCCOB-56178-1",NA
"65","CTCCOB",NA,28.5,-80.33,0.8382,NA,"TL",NA,NA,1992-03-09,"SEFSC",1,"CTCCOB-176016",2026-05-05,"UTC",1992,3,9,69,00:00:00,NA,"POINT(-80.33 28.5)","CTCCOB-176016","CTCCOB-176016-1",NA
"66","CTCCOB",NA,28.5,-80.33,0.8382,NA,"TL",NA,NA,1992-03-17,"SEFSC",1,"CTCCOB-176601",2026-05-05,"UTC",1992,3,17,77,00:00:00,NA,"POINT(-80.33 28.5)","CTCCOB-176601","CTCCOB-176601-1",NA
"67","CTCCOB",NA,28.5,-80.33,0.8382,NA,"TL",NA,NA,1992-03-09,"SEFSC",1,"CTCCOB-195628",2026-05-05,"UTC",1992,3,9,69,00:00:00,NA,"POINT(-80.33 28.5)","CTCCOB-195628","CTCCOB-195628-1",NA
"68","CTCCOB",NA,28.5,-80.5,0.8382,NA,"TL",NA,NA,1994-07-11,"SEFSC",1,"CTCCOB-232242",2026-05-05,"UTC",1994,7,11,192,00:00:00,NA,"POINT(-80.5 28.5)","CTCCOB-232242","CTCCOB-232242-1",NA
"69","CTCCOB",NA,29.5,-85.86667,0.8636,NA,"TL",NA,NA,1989-05-13,"SEFSC",2,"CTCCOB-167387",2026-05-05,"UTC",1989,5,13,133,00:00:00,NA,"POINT(-85.86667 29.5)","CTCCOB-167387","CTCCOB-167387-2",NA
"70","CTCCOB",NA,28.5,-80,0.9144,NA,"TL",NA,NA,1990-09-07,"SEFSC",2,"CTCCOB-175768",2026-05-05,"UTC",1990,9,7,250,00:00:00,NA,"POINT(-80.0 28.5)","CTCCOB-175768","CTCCOB-175768-2",NA
"71","CTCCOB",NA,37.49,-75.97,0.9398,NA,"TL",NA,NA,2024-06-29,"SEFSC",2,"CTCCOB-447304",2026-05-05,"UTC",2024,6,29,181,00:00:00,NA,"POINT(-75.97 37.49)","CTCCOB-447304","CTCCOB-447304-2",NA
"72","CTCCOB",NA,37.09,-76.07,0.9652,NA,"TL",NA,NA,2024-08-16,"SEFSC",2,"CTCCOB-448871",2026-05-05,"UTC",2024,8,16,229,00:00:00,NA,"POINT(-76.07 37.09)","CTCCOB-448871","CTCCOB-448871-2",NA
"73","CTCCOB",NA,28.5,-80,0.9906,NA,"TL",NA,NA,1990-03-27,"SEFSC",2,"CTCCOB-175654",2026-05-05,"UTC",1990,3,27,86,00:00:00,NA,"POINT(-80.0 28.5)","CTCCOB-175654","CTCCOB-175654-2",NA
"74","CTCCOB",NA,37,-76,0.9906,NA,"TL",NA,NA,1990-09-13,"SEFSC",2,"CTCCOB-175756",2026-05-05,"UTC",1990,9,13,256,00:00:00,NA,"POINT(-76.0 37.0)","CTCCOB-175756","CTCCOB-175756-2",NA
"75","CTCCOB",NA,29.16667,-80.66667,1.2192,NA,"TL",NA,NA,1991-05-14,"SEFSC",2,"CTCCOB-175870",2026-05-05,"UTC",1991,5,14,134,00:00:00,NA,"POINT(-80.66667 29.16667)","CTCCOB-175870","CTCCOB-175870-2",NA
"76","CTCCOB",NA,27.66667,-82.69167,0.711,NA,"TL",NA,NA,1994-08-20,"SEFSC",2,"CTCCOB-19634",2026-05-05,"UTC",1994,8,20,232,00:00:00,NA,"POINT(-82.69167 27.66667)","CTCCOB-19634","CTCCOB-19634-2",NA
"77","CTCCOB",NA,28,-94,0.5588,1.36077711,"TL",NA,NA,1989-06-17,"SEFSC",1,"CTCCOB-59275",2026-05-05,"UTC",1989,6,17,168,00:00:00,NA,"POINT(-94.0 28.0)","CTCCOB-59275","CTCCOB-59275-1",NA
"78","CTCCOB",NA,29.16,-90.33,0.6096,1.36077711,"TL",NA,NA,1990-07-10,"SEFSC",1,"CTCCOB-177425",2026-05-05,"UTC",1990,7,10,191,00:00:00,NA,"POINT(-90.33 29.16)","CTCCOB-177425","CTCCOB-177425-1",NA
"79","CTCCOB",NA,29,-87,0.381,1.81436948,"TL",NA,NA,1987-08-21,"SEFSC",1,"CTCCOB-73373",2026-05-05,"UTC",1987,8,21,233,00:00:00,NA,"POINT(-87.0 29.0)","CTCCOB-73373","CTCCOB-73373-1",NA
"80","CTCCOB",NA,29,-87,0.4064,1.81436948,"TL",NA,NA,1989-06-08,"SEFSC",1,"CTCCOB-150362",2026-05-05,"UTC",1989,6,8,159,00:00:00,NA,"POINT(-87.0 29.0)","CTCCOB-150362","CTCCOB-150362-1",NA
"81","CTCCOB",NA,29,-85,0.4572,1.81436948,"TL",NA,NA,1992-05-15,"SEFSC",1,"CTCCOB-64762",2026-05-05,"UTC",1992,5,15,136,00:00:00,NA,"POINT(-85.0 29.0)","CTCCOB-64762","CTCCOB-64762-1",NA
"82","CTCCOB",NA,29,-95,0.4572,1.81436948,"TL",NA,NA,1994-05-24,"SEFSC",1,"CTCCOB-230411",2026-05-05,"UTC",1994,5,24,144,00:00:00,NA,"POINT(-95.0 29.0)","CTCCOB-230411","CTCCOB-230411-1",NA
"83","CTCCOB",NA,30,-86,0.6096,1.81436948,"TL",NA,NA,1990-08-01,"SEFSC",1,"CTCCOB-61354",2026-05-05,"UTC",1990,8,1,213,00:00:00,NA,"POINT(-86.0 30.0)","CTCCOB-61354","CTCCOB-61354-1",NA
"84","CTCCOB",NA,24.83,-80.5,0.6096,1.81436948,"TL",NA,NA,1992-04-30,"SEFSC",1,"CTCCOB-62604",2026-05-05,"UTC",1992,4,30,121,00:00:00,NA,"POINT(-80.5 24.83)","CTCCOB-62604","CTCCOB-62604-1",NA
"85","CTCCOB",NA,29.16,-89.16,0.7112,1.81436948,"TL",NA,NA,1987-05-25,"SEFSC",1,"CTCCOB-52099",2026-05-05,"UTC",1987,5,25,145,00:00:00,NA,"POINT(-89.16 29.16)","CTCCOB-52099","CTCCOB-52099-1",NA
"86","CTCCOB",NA,29.5,-89,0.7366,1.81436948,"TL",NA,NA,1991-08-17,"SEFSC",1,"CTCCOB-51941",2026-05-05,"UTC",1991,8,17,229,00:00:00,NA,"POINT(-89.0 29.5)","CTCCOB-51941","CTCCOB-51941-1",NA
"87","CTCCOB",NA,24.75,-80.83,0.6096,2.26796185,"TL",NA,NA,1991-12-04,"SEFSC",1,"CTCCOB-62304",2026-05-05,"UTC",1991,12,4,338,00:00:00,NA,"POINT(-80.83 24.75)","CTCCOB-62304","CTCCOB-62304-1",NA
"88","CTCCOB",NA,24.83,-80.5,0.635,2.26796185,"TL",NA,NA,1991-02-10,"SEFSC",1,"CTCCOB-178706",2026-05-05,"UTC",1991,2,10,41,00:00:00,NA,"POINT(-80.5 24.83)","CTCCOB-178706","CTCCOB-178706-1",NA
"89","CTCCOB",NA,30,-86.5,0.762,2.26796185,"TL",NA,NA,1988-07-10,"SEFSC",1,"CTCCOB-57914",2026-05-05,"UTC",1988,7,10,192,00:00:00,NA,"POINT(-86.5 30.0)","CTCCOB-57914","CTCCOB-57914-1",NA
"90","CTCCOB",NA,24.83,-80.5,0.8128,2.26796185,"TL",NA,NA,1992-04-30,"SEFSC",1,"CTCCOB-62606",2026-05-05,"UTC",1992,4,30,121,00:00:00,NA,"POINT(-80.5 24.83)","CTCCOB-62606","CTCCOB-62606-1",NA
"91","CTCCOB",NA,29.5,-89,0.6096,2.72155422,"TL",NA,NA,1991-09-07,"SEFSC",1,"CTCCOB-51968",2026-05-05,"UTC",1991,9,7,250,00:00:00,NA,"POINT(-89.0 29.5)","CTCCOB-51968","CTCCOB-51968-1",NA
"92","CTCCOB",NA,24.83,-80.5,0.6604,2.72155422,"TL",NA,NA,1992-03-15,"SEFSC",1,"CTCCOB-194521",2026-05-05,"UTC",1992,3,15,75,00:00:00,NA,"POINT(-80.5 24.83)","CTCCOB-194521","CTCCOB-194521-1",NA
"93","CTCCOB",NA,24.83,-80.5,0.6604,2.72155422,"TL",NA,NA,1992-02-29,"SEFSC",1,"CTCCOB-195538",2026-05-05,"UTC",1992,2,29,60,00:00:00,NA,"POINT(-80.5 24.83)","CTCCOB-195538","CTCCOB-195538-1",NA
"94","CTCCOB",NA,28,-91,0.7112,2.72155422,"TL",NA,NA,1989-08-26,"SEFSC",1,"CTCCOB-59517",2026-05-05,"UTC",1989,8,26,238,00:00:00,NA,"POINT(-91.0 28.0)","CTCCOB-59517","CTCCOB-59517-1",NA
"95","CTCCOB",NA,29,-85,0.7112,2.72155422,"TL",NA,NA,1990-09-21,"SEFSC",1,"CTCCOB-61237",2026-05-05,"UTC",1990,9,21,264,00:00:00,NA,"POINT(-85.0 29.0)","CTCCOB-61237","CTCCOB-61237-1",NA
"96","CTCCOB",NA,24.83,-80.5,0.7112,2.72155422,"TL",NA,NA,1991-02-05,"SEFSC",1,"CTCCOB-62885",2026-05-05,"UTC",1991,2,5,36,00:00:00,NA,"POINT(-80.5 24.83)","CTCCOB-62885","CTCCOB-62885-1",NA
"97","CTCCOB",NA,30.26,-87.28,0.7112,3.17514659,"TL",NA,NA,1993-09-20,"SEFSC",1,"CTCCOB-54208",2026-05-05,"UTC",1993,9,20,263,00:00:00,NA,"POINT(-87.28 30.26)","CTCCOB-54208","CTCCOB-54208-1",NA
"98","CTCCOB",NA,29.75,-85.83,0.7112,3.17514659,"TL",NA,NA,1990-10-16,"SEFSC",1,"CTCCOB-61231",2026-05-05,"UTC",1990,10,16,289,00:00:00,NA,"POINT(-85.83 29.75)","CTCCOB-61231","CTCCOB-61231-1",NA
"99","CTCCOB",NA,24.83,-80.5,0.762,3.17514659,"TL",NA,NA,1989-12-26,"SEFSC",1,"CTCCOB-169482",2026-05-05,"UTC",1989,12,26,360,00:00:00,NA,"POINT(-80.5 24.83)","CTCCOB-169482","CTCCOB-169482-1",NA
